c_id,artist,track,album,song_url,filename
c00041,The Possible,ดวงใจยังมีรัก,Ost.เก๋า..เก๋า,http://chordtabs.in.th/song.php?song_id=41&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001501.png
c00042,Friday,นิดนึงพอ,Friday I'm in love,http://chordtabs.in.th/song.php?song_id=42&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000101.png
c00043,Isn't,อยากให้เธอรู้,ลอยตัว,http://chordtabs.in.th/song.php?song_id=43&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000201.png
c00044,Potato,รักแท้ ดูแลไม่ได้,Life,http://chordtabs.in.th/song.php?song_id=44&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000301.png
c00045,Big Ass,begins,Begin,http://chordtabs.in.th/song.php?song_id=45&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000210.png
c00046,Black Head,เหล้าจ๋า,Basic,http://chordtabs.in.th/song.php?song_id=46&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001302.png
c00047,Slur,โรคจิต,Boo!!,http://chordtabs.in.th/song.php?song_id=47&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001402.png
c00048,Slot Machine,ผ่าน,Mutation,http://chordtabs.in.th/song.php?song_id=48&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001601.png
c00049,Tattoo Colour,ฝากที,HongSer,http://chordtabs.in.th/song.php?song_id=49&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001701.png
c00050,Tattoo Colour,ฟ้า,HongSer,http://chordtabs.in.th/song.php?song_id=50&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001702.png
c00051,Nologo,ยินดี,Mosaic,http://chordtabs.in.th/song.php?song_id=51&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001801.png
c00052,Crescendo,ความจริงในใจ,Crescendo,http://chordtabs.in.th/song.php?song_id=52&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001901.png
c00053,Da Endorphine,คืนข้ามปี,ภาพลวงตา,http://chordtabs.in.th/song.php?song_id=53&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002001.png
c00054,Bodyslam,คนที่ถูกรัก,Believe,http://chordtabs.in.th/song.php?song_id=54&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002101.png
c00055,โบ สุนิตา,หนึ่งในไม่กี่คน,Music,http://chordtabs.in.th/song.php?song_id=55&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002201.png
c00056,Moon,จะมีไหม,Midnight,http://chordtabs.in.th/song.php?song_id=56&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002301.png
c00057,Silly Fools,เพียงรัก,Candyman,http://chordtabs.in.th/song.php?song_id=57&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000401.png
c00058,Silly Fools,เมื่อรักฉันเกิด,I.Q.180,http://chordtabs.in.th/song.php?song_id=58&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000402.png
c00059,Modern Dog,บุษบา,เสริมสุขภาพ,http://chordtabs.in.th/song.php?song_id=59&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000501.png
c00060,Groove Rider,แค่เธอก็พอ,Discovery,http://chordtabs.in.th/song.php?song_id=60&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000601.png
c00061,Groove Rider,หยุด,Discovery,http://chordtabs.in.th/song.php?song_id=61&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000602.png
c00063,Friday,เธอยังมีฉัน,Lavender,http://chordtabs.in.th/song.php?song_id=63&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000114.png
c00064,LOVE,ที่เดิม,เธอกับฉัน,http://chordtabs.in.th/song.php?song_id=64&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0049401.png
c00065,Lomosonic,ฉันเข้าใจแต่ไม่เข้าใจ,ดอกไม้ไฟ,http://chordtabs.in.th/song.php?song_id=65&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0039505.png
c00066,Mulatto,นางฟ้า,What's Up MAdS Compilation Vol. 2,http://chordtabs.in.th/song.php?song_id=66&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0049501.png
c00067,Pancake,ขาดใจ,ก๋วยเตี๋ยวหน้าใสกับใจโทรมๆ,http://chordtabs.in.th/song.php?song_id=67&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002918.png
c00068,Tina,ปากแข็ง,Mamakiss,http://chordtabs.in.th/song.php?song_id=68&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0036104.png
c00070,ชิน ชินวุฒิ,คนธรรมดา,Ost.สูตรเสน่หา,http://chordtabs.in.th/song.php?song_id=70&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0009805.png
c00071,ดัง พันกร,ชุดแดง,The Famous Five A Tribute To Hydra,http://chordtabs.in.th/song.php?song_id=71&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0049701.png
c00072,แดน วรเวช,สายตายาว,Ost.32 ธันวา,http://chordtabs.in.th/song.php?song_id=72&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0026008.png
c00073,บี พีระพัฒน์,นาฬิกา,Medium Rare,http://chordtabs.in.th/song.php?song_id=73&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0019715.png
c00076,ยืนยงและสหายดนตรี,หวังเทียม,เดินต่อไป,http://chordtabs.in.th/song.php?song_id=76&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0014018.png
c00077,คิว วง Flure สุวีระ บุญรอด,Pai in Love,OST.ปายอินเลิฟ,http://chordtabs.in.th/song.php?song_id=77&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0006716.png
c00078,ลีโอ พุฒ,ขอใครสักคน,CJL friend club,http://chordtabs.in.th/song.php?song_id=78&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0037202.png
c00079,Playground,มุม,Box,http://chordtabs.in.th/song.php?song_id=79&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000102.png
c00080,Paradox,เธอที่รัก,Ost.วัยอลวน,http://chordtabs.in.th/song.php?song_id=80&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000302.png
c00081,Instinct,ขออยู่คนเดียว,More Cattle,http://chordtabs.in.th/song.php?song_id=81&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000602.png
c00082,Zeal,สองรัก,Zeal,http://chordtabs.in.th/song.php?song_id=82&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000702.png
c00083,Good September,อย่าเบื่อคำว่าเสียใจ,Good September,http://chordtabs.in.th/song.php?song_id=83&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000902.png
c00084,Clash,ท้าชน,Clashing,http://chordtabs.in.th/song.php?song_id=84&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001102.png
c00085,Clash,มือที่ไร้ไออุ่น,Clashing,http://chordtabs.in.th/song.php?song_id=85&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001103.png
c00086,Slot Machine,สิ่งหนึ่งในใจ,Mutation,http://chordtabs.in.th/song.php?song_id=86&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001602.png
c00087,Bodyslam,สักวันฉันจะดีพอ,Bodyslam,http://chordtabs.in.th/song.php?song_id=87&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002102.png
c00088,Bodyslam,ปลายทาง,Drive,http://chordtabs.in.th/song.php?song_id=88&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002103.png
c00089,Bodyslam,ความเชื่อ,Believe,http://chordtabs.in.th/song.php?song_id=89&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002104.png
c00090,โบ สุนิตา,รักแท้หรือแค่เหงา,Music,http://chordtabs.in.th/song.php?song_id=90&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002202.png
c00091,Moon,เก็บมานาน,Midnight,http://chordtabs.in.th/song.php?song_id=91&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002302.png
c00092,Oblivious,รูปภาพ,More Sugar Extra Tattoo,http://chordtabs.in.th/song.php?song_id=92&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002401.png
c00093,Oblivious,คนที่อยากฟัง,More Sugar Extra Tattoo,http://chordtabs.in.th/song.php?song_id=93&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002402.png
c00094,Oblivious,รับไม่ได้,More Sugar Extra Tattoo,http://chordtabs.in.th/song.php?song_id=94&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002403.png
c00095,Ebola,กลับสู่จุดเริ่มต้น,Enlighten,http://chordtabs.in.th/song.php?song_id=95&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002501.png
c00096,บอย ตรัย ภูมิรัตน์,ผูกพัน,บุคคลที่ 3,http://chordtabs.in.th/song.php?song_id=96&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002601.png
c00097,โต๋,รักเธอ,Living in C Major,http://chordtabs.in.th/song.php?song_id=97&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002701.png
c00098,ETC,เธอคือใคร,เปลี่ยน,http://chordtabs.in.th/song.php?song_id=98&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002801.png
c00100,Potato,เพียงพอ,Sense,http://chordtabs.in.th/song.php?song_id=100&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000302.png
c00101,Potato,คนกลาง,Sense,http://chordtabs.in.th/song.php?song_id=101&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000303.png
c00102,Potato,ขอบคุณที่รักกัน,Potato The Collection,http://chordtabs.in.th/song.php?song_id=102&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000304.png
c00103,Potato,นี่แหละความเสียใจ,Sense,http://chordtabs.in.th/song.php?song_id=103&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000305.png
c00104,Potato,ห้ามใจไม่ไหว,Sense,http://chordtabs.in.th/song.php?song_id=104&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000306.png
c00105,Potato,บันไดเสียง,Sense,http://chordtabs.in.th/song.php?song_id=105&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000307.png
c00106,Silly Fools,Stay Away,Mini,http://chordtabs.in.th/song.php?song_id=106&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000403.png
c00107,Silly Fools,150 cc.,Mint,http://chordtabs.in.th/song.php?song_id=107&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000404.png
c00108,Silly Fools,วัดใจ,Juicy,http://chordtabs.in.th/song.php?song_id=108&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000405.png
c00109,2 days ago kids,กลับมา,Time Machine,http://chordtabs.in.th/song.php?song_id=109&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000701.png
c00110,พงษ์พัฒน์ วชิรบรรจง,ใจนักเลง,ร็อคนี่หว่า,http://chordtabs.in.th/song.php?song_id=110&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000801.png
c00111,Pause,ความลับ,Mild,http://chordtabs.in.th/song.php?song_id=111&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000901.png
c00112,Pause,กอดหมอน,Mild,http://chordtabs.in.th/song.php?song_id=112&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000902.png
